// Music used under Fair Dealing for Educational and Private Study purposes
// meta data
bpm 135
note 0 d
note 0 f

note 750 j
note 750 k

note 1600 d
note 1675 f
note 1800 k
note 2100 j
note 2400 f
note 2700 d
note 3000 f
note 3300 j
note 3600 k

note 4200 d
note 4200 f

note 4850 d
note 5150 f
note 5350 j

note 5650 k
note 5950 j
note 6200 f

note 6500 k
note 6800 j

// repeated below
note 7100 d
note 7100 f

note 7850 j
note 7850 k

note 8700 d
note 8775 f
note 8900 k

note 9200 j
note 9500 f
note 9800 d
note 10100 f
note 10400 j
note 10700 k

note 11300 d
note 11300 f

note 11950 d
note 12250 f
note 12450 j

note 12750 k
note 13050 j
note 13300 f

note 13600 k
note 13900 j

// JOOOOOO JOOOOO!
flash 2 375
note 14200 d
note 14200 f
note 14200 k

note 14800 d
note 14800 j
note 14800 k

// Some notes
note 15800 d
note 15875 f
note 15950 k

note 16250 j
note 16500 f
note 16800 d
note 17100 f
note 17400 j 

// GOLDEN WIND
note 17700 d
note 17700 k

note 18100 f

note 18400 j
note 18400 k

// Some more notes
note 18950 d
note 19250 f 
note 19400 j 
note 19800 k

note 20100 j
note 20300 f

note 20700 k
note 20950 j 

// JOOOOOO JOOOOO!
note 21250 d
note 21250 f
note 21250 k

note 21850 d
note 21850 j
note 21850 k

// Some notes
note 22850 d
note 22925 f
note 23000 k

note 23300 j
note 23550 f
note 23850 d
note 24150 f
note 24450 j 

// GOLDEN WIND
note 24750 d
note 24750 k

note 25150 f

note 25450 j
note 25450 k

// even more notes
note 26100 f 
note 26300 j 
note 26600 k 

note 26900 f
note 27100 d 
note 27400 f

note 27700 j
note 27950 f 
note 28250 k 
note 28250 d 
flash

// build up
// dddfdfdfd
note 28450 d
note 28700 d
note 28850 d
note 29050 f
note 29250 d
note 29450 f
note 29650 d
note 29750 f

// kkkkjkjkjk
note 30000 k
note 30200 k
note 30450 k
note 30600 k 
note 30800 j 
note 31000 k
note 31200 j
note 31400 k
note 31500 j

// ddddfdfdfd
note 31800 d
note 32000 d
note 32250 d
note 32400 d
note 32600 f
note 32800 d
note 33000 f
note 33200 d
note 33300 f

// kkkkjkjkjk
note 33500 k
note 33700 k
note 33950 k
note 34100 k
note 34300 j
note 34500 k
note 34700 j
note 34900 k
note 35000 j

// // intro sax
// mini jack
note 35300 d
note 35500 d
note 35700 d

// roll
note 38000 k 
note 38100 j
note 38200 f 
note 38300 d

// split roll
note 38400 j 
note 38500 f 
note 38600 k

note 38700 d
note 38800 j 
note 38900 f 
note 39000 k

// split roll
note 39100 f 
note 39200 j 
note 39300 d

note 39400 k
note 39500 f
note 39600 j
note 39700 d

// roll
note 39800 f 
note 39900 j  
note 40000 k  


// stay poppin' && sexy sax
note 41600 f 
note 41700 d
note 41900 d
note 42000 d
